"originalorder","field","topic","description","r","ci_lower","ci_upper","k","n","reference","year"
102,"Interpersonal Communication","In social interaction or relationships ...","extraversion is positively associated with expressive nonverbal behavior",0.13,0.06,0.21,13,1002,"LaFrance et al., 2004",2004
103,"Interpersonal Communication","In social interaction or relationships ...","speaking time is positively associated with dominance",0.51,0.48,0.54,45,2850,"Mast, 2002",2002
104,"Interpersonal Communication","In social interaction or relationships ...","level of person-centeredness is positively associated with beneficial social support outcomes",0.61,0.53,0.7,23,5242,"High & Dillard, 2012",2012
105,"Interpersonal Communication","In social interaction or relationships ...","accounts for violating social norms improve perceptions of the violator",0.2,NA,NA,189,35222,"Benoit et al., 2014",2014
106,"Interpersonal Communication","In social interaction or relationships ...","resting levels of asymmetry in the anterior region of the prefrontal cortex is associated with social interaction variables",0.45,0.34,0.51,14,572,"Pence et al., 2011",2011
107,"Interpersonal Communication","In social interaction or relationships ...","socio-emotional communication in CMC is greater when interaction time is not limited",0.09,NA,NA,21,NA,"Walther et al., 1994",1994
108,"Media","Media consumption ...","influences the public’s perceptions of issue importance",0.53,0.47,0.59,90,NA,"Wanta & Ghanem, 2007",2007
109,"Media","Media consumption ...","is associated with viewers’ perceptions of social reality",0.09,NA,NA,52,NA,"Morgan & Shanahan, 1996",1996
110,"Media","Media consumption ...","is associated with acceptance of sexual stereotypes",0.1,NA,NA,20,1194,"Herrett-Skjellum & Allen, 1995",1995
111,"Media","Media consumption ...","in the form of television viewing is associated with the degree to which people have parasocial relationships",0.22,NA,NA,15,4945,"Schiappa et al., 2007",2007
112,"Media","Media consumption ...","is perceived by audience members to have greater effects on others than themselves",0.5,NA,NA,121,45729,"Paul et al., 2000",2000
113,"Media","Media consumption ...","is associated with body image",0.08,NA,NA,34,NA,"Holmstrom, 2004",2004
114,"Media","Exposure to sexually explicit media ...","leads to greater agreement with rape myths or perceptions of sexual relationships as adversarial",0.15,NA,NA,NA,2248,"Mundorf et al., 2007",2007
115,"Media","Exposure to sexually explicit media ...","leads to increased aggressive behavior",0.17,NA,NA,24,1229,"Mundorf et al., 2007",2007
116,"Media","Exposure to sexually explicit media ...","increases behavioral aggression",0.13,NA,NA,33,2040,"Allen, D’Alessio, et al., 1995",1995
117,"Media","Exposure to sexually explicit media ...","is positively associated with acceptance of rape myths",0.1,NA,NA,24,4268,"Allen, Emmers, et al., 1995",1995
118,"Media","Exposure to sexually explicit media ...","is greater among sexual criminals than non-criminals",0.06,NA,NA,13,2543,"Allen, D’Alessio, & Emmers-Sommer, 1999",1999
119,"Media","Exposure to sexually explicit media ...","Physiological arousal in response to pornography is associated with positive emotional responses",0.21,NA,NA,33,2552,"Allen et al., 2007",2007
120,"Media","In research on media selection ...","people select media that are congruent with their attitudes or avoid media that are incongruent",0.16,NA,NA,17,1953,"D’Alessio & Allen, 2007; Study 1",2007
121,"Media","In research on media selection ...","following a decision, people select material consistent with a decision and reject material that contradicts the decision",0.24,NA,NA,22,2101,"D’Alessio & Allen, 2007; Study 2",2007
122,"Media","In research on media selection ...","television is used for a variety of purposes",0.07,NA,NA,24,7385,"Emmers-Sommer & Allen, 1999",1999
123,"Media","In research on media violence ...","selective exposure is greater with more violent content",0.15,0.1,0.21,8,1203,"Weaver, 2011",2011
124,"Media","In research on media violence ...","enjoyment is inversely associated with violent content",0.15,0.11,0.19,18,2501,"Weaver, 2011",2011
125,"Media","In research on media violence ...","media consumption influences beliefs about violence in the world",0.14,NA,NA,17,6622,"Emmers-Sommer & Allen, 1999",1999
126,"Media","In research on media violence ...","exposure to television violence is positively associated with antisocial behavior",0.31,NA,NA,1142,NA,"Paik & Comstock, 1994",1994
127,"Media","In research on media violence ...","videogame play is positively associated with aggression",0.15,NA,NA,25,2722,"Sherry, 2001",2001
128,"Media","In research on media violence ...","men enjoy mediated fright and violence more than women",0.22,0.16,0.27,30,4914,"Hoffner & Levine, 2007",2007
129,"Media","In research on media violence ...","exposure to violent media is associated with increased aggression",0.17,0.09,0.25,13,NA,"Christensen & Wood, 2007",2007
130,"Media","In research on media and political communication ...","newspaper exposure is positively associated with political involvement",0.33,0.26,0.4,15,8579,"Hollander, 2007",2007
131,"Media","In research on media and political communication ...","television exposure is positively associated with political involvement",0.13,0.05,0.21,15,8579,"Hollander, 2007",2007
132,"Media","In research on media and political communication ...","news coverage of presidential election campaigns is biased to favor Republicans",0.01,NA,NA,132,NA,"D’Alessio & Allen, 2000",2000
133,"Media","In research on media and political communication ...","knowledge of candidates’ issue positions",0.26,0.2,0.32,18,7202,"Benoit et al., 2003",2003
134,"Media","In research on media and political communication ...","watching general election debates is positively associated with vote preference",0.15,0.1,0.21,25,8876,"Benoit et al., 2003",2003
135,"Media","In research on media and political communication ...","people perceive news coverage to be biased against their point of view",0.3,0.23,0.37,34,9293,"Hansen & Kim, 2011",2011
136,"Media","Music exposure is associated with ...","increased anti-social beliefs and actions",0.21,NA,NA,35,11629,"Timmerman et al., 2008",2008
137,"Media","Music exposure is associated with ...","increased antisocial actions and beliefs",0.23,NA,NA,23,7003,"Allen, Herrett-Skjellum, et al., 2007",2007
138,"Media","Exposure to ...","advertising improves attitudes toward brands",0.15,NA,NA,16,4551,"Desmond & Carveth, 2007",2007
139,"Media","Exposure to ...","advertising leads to greater brand comprehension",0.18,0.05,0.23,10,2431,"Desmond & Carveth, 2007",2007
140,"Media","Exposure to ...","stereotypes about gender in media are positively associated with stereotype-consistent attitudes and behaviors",0.12,0.04,0.2,20,11417,"non-experimental studies; Oppliger, 2007",2007
141,"Media","Exposure to ...","stereotypes about gender in media are positively associated with stereotype-consistent attitudes and behaviors",0.24,0.04,0.43,13,1180,"experimental studies; Oppliger, 2007",2007
142,"Media","Exposure to ...","content displaying stereotypes increases stereotype-consistent attitudes",0.21,NA,NA,11,1091,"Herrett-Skjellum & Allen, 1995",1995
143,"Media","Exposure to ...","television programs produced in foreign countries impact domestic viewers’ beliefs",0.09,NA,NA,11,6447,"Elasmar & Hunter, 1996",1996
144,"Media","Prosocial effects of media ...","children who watch prosocial content behave more positively or hold more positive attitudes",0.23,0.25,0.3,108,5473,"Mares & Woodard, 2005",2005
145,"Media","Prosocial effects of media ...","medial literacy interventions have pro-social effects",0.18,0.13,0.23,51,NA,"Jeong et al., 2012",2012
146,"Media","Problematic Internet use is ...","positively associated with depression",0.37,NA,NA,23,452,"Tokunaga & Rains, 2010",2010
147,"Media","Problematic Internet use is ...","positively associated with time spent using the Internet",0.39,NA,NA,46,411,"Tokunaga & Rains, 2010",2010
148,"Media","Problematic Internet use is ...","Media priming influences subsequent behaviors or judgements",0.1,0.09,0.11,63,NA,"Roskos-Ewoldsen et al., 2007",2007
149,"Media","Problematic Internet use is ...","Involvement with entertainment media is associated with viewing outcomes",0.27,0.25,0.3,45,9836,"Tukachinsky & Tokunaga, 2013",2013
150,"Media","Problematic Internet use is ...","Age is positively associated with the ability to understand media content",0.47,NA,NA,18,2362,"Emmers-Sommer & Allen, 1999",1999
151,"Media","Problematic Internet use is ...","Education is positively associated with knowledge",0.28,0.24,0.33,46,105483,"Hwang & Jeong, 2009",2009
152,"Organizational/group","Problematic Internet use is ...","Male and female managers communicate differently",0.07,NA,NA,174,NA,"Wilkins & Andersen, 1991",1991
153,"Organizational/group","Problematic Internet use is ...","Social support is associated with reduced turnover indicators",0.3,0.22,0.37,19,6003,"Feeley et al., 2010",2010
154,"Organizational/group","In small group research ...","groups using a group support system produce a greater number of unique ideas than groups meeting face-to-face",0.49,0.18,0.23,13,270,"Rains, 2005",2005
155,"Organizational/group","In small group research ...","groups using a group support system experience greater influence equality than groups meeting face-to-face",0.11,0.01,0.1,10,429,"Rains, 2005",2005
156,"Organizational/group","In small group research ...","groups using a group support system experience smaller decision shifts than groups meeting face-to-face",0.06,-0.02,0.08,11,341,"Rains, 2005",2005
157,"Organizational/group","In small group research ...","groups discuss more information that is shared by group members than is unshared",0.53,0.08,0.76,45,1176,"Reimer et al., 2010",2010
158,"Organizational/group","In small group research ...","larger juries are more likely to not reach a decision",0.14,NA,NA,18,2735,"Mabry et al., 2014",2014
159,"Persuasion","Attitude/behavior change is caused by ...","fear appeals",0.21,NA,NA,25,3892,"attitude change; Boster & Mongeau, 1984",1984
160,"Persuasion","Attitude/behavior change is caused by ...","fear appeals",0.1,NA,NA,15,3080,"behavior change; Boster & Mongeau, 1984",1984
161,"Persuasion","Attitude/behavior change is caused by ...","fear appeals",0.19,NA,NA,29,4311,"attitude change; Mongeau, 1986",1986
162,"Persuasion","Attitude/behavior change is caused by ...","fear appeals",0.12,NA,NA,19,3445,"behavior change; Mongeau, 1986",1986
163,"Persuasion","Attitude/behavior change is caused by ...","testimonial assertion evidence involving outside information",0.19,NA,NA,16,2800,"Reinard, 1986",1986
164,"Persuasion","Attitude/behavior change is caused by ...","greater levels of language intensity",0.02,NA,NA,11,3864,"Hamilton & Hunter, 1986",1986
165,"Persuasion","Attitude/behavior change is caused by ...","fewer incentives in counterattudinal advocacy",0.11,NA,NA,41,2682,"Preiss & Allen, 1986",1986
166,"Persuasion","Attitude/behavior change is caused by ...","messages with more supporting evidence",0.21,NA,NA,31,4703,"Stiff, 1986",1986
167,"Persuasion","Attitude/behavior change is caused by ...","messages from higher credibility sources",0.1,NA,NA,10,1345,"Stiff, 1986",1986
168,"Persuasion","Attitude/behavior change is caused by ...","strong arguments among people in a negative or neutral mood",0.35,0.28,0.43,27,1146,"Hullett, 2005",2005
169,"Persuasion","Attitude/behavior change is caused by ...","strong arguments among people in a positive mood",0.29,0.18,0.39,12,622,"Hullett, 2005",2005
170,"Persuasion","Attitude/behavior change is caused by ...","argument quality when audience members engage in central processing relative to peripheral processing",0.33,NA,NA,134,15426,"Carpenter, 2015",2015
171,"Persuasion","Attitude/behavior change is caused by ...","greater levels of distraction",0.03,NA,NA,104,4000,"Buller, 1986",1986
172,"Persuasion","Attitude/behavior change is caused by ...","use of metaphor",0.07,0.04,0.1,38,3945,"Sopory & Dillard, 2002",2002
173,"Persuasion","Attitude/behavior change is caused by ...","engaging in counterattiduinal advocacy",0.22,0.21,0.24,230,17505,"Kim et al., 2014",2014
174,"Persuasion","People are more persuaded …","by two-sided messages than the one-sided messages",0.04,NA,NA,26,7547,"Allen, 1991",1991
175,"Persuasion","People are more persuaded ...","by two-sided messages than the one-sided messages",0.03,NA,NA,70,1058,"Allen, 1986",1986
176,"Persuasion","People are more persuaded ...","by one-sided messages than two-sided messages",0,-0.04,0.04,107,20111,"O’Keefe, 1999",1999
177,"Persuasion","People are more persuaded ...","when rhetorical questions are used",0.05,NA,NA,18,1948,"Gayle et al, 1986",1986
178,"Persuasion","People are more persuaded ...","by powerful language than powerless language",0.23,NA,NA,5,413,"Burrell & Koper, 1986",1986
179,"Persuasion","People are more persuaded ...","by examples than base-rate information",0.18,NA,NA,14,2634,"Allen et al., 2006",2006
180,"Persuasion","People are more persuaded ...","when messages match attitude functions than when mismatched",0.37,NA,NA,38,1460,"Carpenter, 2012",2012
181,"Persuasion","People are more persuaded ...","by culturally adapted advertisements than non-adapted ads",0.07,0.03,0.12,67,6755,"Hornikx & O’Keefe, 2009",2009
182,"Persuasion","People are more persuaded ...","by statistical evidence than narrative evidence",0.07,NA,NA,16,1836,"Allen & Preiss, 1997",1997
183,"Persuasion","People are more persuaded ...","by gain framed messages than loss framed messages",0.02,0,0.04,165,5078,"O’Keefe & Jensen, 2006",2006
184,"Persuasion","People are more persuaded ...","by loss framed messages than gain framed messages in the context of vaccination",0.02,-0.02,0.06,32,11814,"O’Keefe & Nan, 2012",2012
185,"Persuasion","People are more persuaded ...","by gain framed messages than loss framed messages in the context of prevention",0.03,0.01,0.06,93,21656,"O’Keefe & Jensen, 2007",2007
186,"Persuasion","People are more persuaded ...","by loss framed messages than gain framed messages in the context of detection",0.04,0.01,0.07,53,9145,"O’Keefe & Jensen, 2009",2009
187,"Persuasion","Compliance is induced by the ...","foot-in-the-door technique",0.11,NA,NA,28,4927,"Dillard et al., 1984",1984
188,"Persuasion","Compliance is induced by the ...","door-in-the-face technique",0.08,NA,NA,18,2524,"Dillard et al., 1984",1984
189,"Persuasion","Compliance is induced by the ...","door-in-the-face technique",0.05,-0.02,0.12,39,NA,"behavioral compliance; Feeley et al., 2012",2012
190,"Persuasion","Compliance is induced by the ...","door-in-the-face technique",0.13,0.08,0.17,78,NA,"verbal compliance; Feeley et al., 2012",2012
191,"Persuasion","Compliance is induced by the ...","door-in-the-face technique",0.1,0.05,0.14,88,7780,"O’Keefe & Hale, 1998",1998
192,"Persuasion","Compliance is induced by the ...","legitimization of paltry contributions technique",0.11,NA,NA,19,2730,"Andrews et al., 2008",2008
193,"Persuasion","Compliance is induced by the ...","disrupt-them-reframe technique",0.28,NA,NA,14,1106,"Carpenter & Boster, 2009",2009
194,"Persuasion","Compliance is induced by the ...","but-you-are-free technique",0.13,NA,NA,42,22333,"Carpenter, 2013",2013
195,"Persuasion","Counterarguing is ...","increased by freedom-threatening messages",0.21,0.16,0.27,17,3879,"Rains, 2013",2013
196,"Persuasion","Counterarguing is ...","decreased by distraction",0.17,NA,NA,31,957,"Buller, 1986",1986
197,"Persuasion","In research on persuasion resistance ...","audience members forewarned to expect a persuasive speech are less persuaded by the speech than those who are not forewarned",0.18,NA,NA,12,1359,"Benoit, 1986",1986
198,"Persuasion","In research on persuasion resistance ...","inoculated individuals are less susceptible to a persuasive attack than people who are not inoculated",0.21,0.19,0.23,41,1066,"Banas & Rains, 2010",2010
199,"Persuasion","In research on persuasion resistance ...","freedom-threatening messages cause more negative attitudes",0.06,-0.03,0.14,11,2991,"Rains, 2013",2013
200,"Persuasion","Message engagement/comprehension is ...","decreased by distraction",0.23,NA,NA,34,915,"Buller, 1986",1986
201,"Persuasion","Message engagement/comprehension is ...","increased by gain framed messages relative to loss framed messages",0.06,0.02,0.1,42,6378,"O’Keefe & Jensen, 2008",2008
202,"Persuasion","Emotions play a role in persuasion ...","fear appeals cause perceptions of fear",0.36,NA,NA,40,7016,"Boster & Mongeau, 1984",1984
203,"Persuasion","Emotions play a role in persuasion ...","fear appeals cause perceptions of fear",0.35,NA,NA,45,7645,"Mongeau, 1986",1986
204,"Persuasion","Emotions play a role in persuasion ...","freedom-threatening messages cause anger",0.23,0.17,0.29,19,4757,"Rains, 2013",2013
205,"Persuasion","The relationships among attitudes, behavioral intentions, and behavior ...","attitudes are correlated with behavioral intentions",0.87,0.83,0.91,92,16785,"Kim & Hunter, 1993a",1993
206,"Persuasion","The relationships among attitudes, behavioral intentions, and behavior ...","behavioral intentions are correlated with behavior",0.82,0.7,0.94,47,10203,"Kim & Hunter, 1993a",1993
207,"Persuasion","The relationships among attitudes, behavioral intentions, and behavior ...","attitudes are correlated with behavior",0.79,NA,NA,138,90808,"Kim & Hunter, 1993b",1993
208,"Persuasion","Sources are perceived to be ...","more credible when they use powerful language compared to powerless language",0.21,NA,NA,14,1299,"Burrell & Koper, 1986",1986
209,"Persuasion","Sources are perceived to be ...","more credible when they used two-sided messages than one-sided messages",0.09,0.05,0.13,56,6937,"O’Keefe, 1999",1999
210,"Persuasion","Sources are perceived to be ...","less competent when they use metaphor",0.01,-0.03,0.06,20,1938,"Sopory & Dillard, 2002",2002
211,"Persuasion","Sources are perceived to be ...","less dynamic when they use metaphor",0.06,0,0.11,11,1252,"Sopory & Dillard, 2002",2002
212,"Persuasion","Sources are perceived to be ...","to have less character when they use metaphor",0.02,-0.05,0.04,20,1936,"Sopory & Dillard, 2002",2002
213,"Persuasion","Sources are perceived to be ...","Culturally adapted advertisements are more liked than non-adapted advertisements",0.08,0.03,0.14,66,6091,"Hornikx & O’Keefe, 2009",2009
214,"Persuasion","Sources are perceived to be ...","Perceived message effectiveness is positively associated with actual message effectiveness",0.41,0.38,0.42,40,3006,"Dillard et al., 2007",2007
